bloomberg_ticker,name_ticker,isin,figi,share_class_figi,composite_figi
000060 KS,MERITZ FIRE IN,KR7000060004,BBG000BDT9R8,BBG001S6K3F8,BBG000BDT9R8
000070 KS,SAMYANG HOLDINGS,KR7000070003,BBG000BCZ9D8,BBG001S6CSC5,BBG000BCZ9D8
000080 KS,HITE JINRO,KR7000080002,BBG000BDN2M4,BBG001S6JKX2,BBG000BDN2M4
000100 KS,YUHAN CORPORATION,KR7000100008,BBG000BDQQP5,BBG001S6JYV4,BBG000BDQQP5
000120 KS,CJ KOREA EXPRESS,KR7000120006,BBG000BCYPM3,BBG001S6K288,BBG000BCYPM3
000150 KS,DOOSAN,KR7000150003,BBG000BCX192,BBG001S6JX91,BBG000BCX192
000210 KS,DL HOLDINGS CO LTD,KR7000210005,BBG000BDG9N6,BBG001S6HH98,BBG000BDG9N6
000240 KS,HANKOOK TIRE WORLDWIDE,KR7000240002,BBG000BCV5W9,BBG001S6JJS1,BBG000BCV5W9
000270 KS,KIA CORP,KR7000270009,BBG000BCL1T3,BBG001S6D3N7,BBG000BCL1T3
000370 KS,HANWHA GENERAL,KR7000370007,BBG000BH4ZY0,BBG001S72C93,BBG000BH4ZY0
000640 KS,DONGA SOCIO HOLDINGS,KR7000640003,BBG000BCRZ67,BBG001S6HMT5,BBG000BCRZ67
000660 KS,SK HYNIX INC,KR7000660001,BBG000GQVT51,BBG001S90F76,BBG000GQVT51
000670 KS,YOUNGPOONG,KR7000670000,BBG000BDTQ09,BBG001S6K3S4,BBG000BDTQ09
000700 KS,EUSU HOLDINGS,KR7000700005,BBG000BCV4S7,BBG001S6JJP4,BBG000BCV4S7
000720 KS,HYUNDAI ENGINEERING & CONSTRUCTION,KR7000720003,BBG000BCVC63,BBG001S6JK80,BBG000BCVC63
000800 KS,KYUNG NONG CORP,,BBG000BCYY08,BBG001S6CMJ1,BBG000BCYY08
000810 KS,SAMSUNG FIRE & MARINE INSURANCE,KR7000810002,BBG000BG7W76,BBG001S72C84,BBG000BG7W76
000830 KS,KYUNG NONG CORP,,BBG000BCYHH7,BBG001S6K1T7,BBG000BCYHH7
000880 KS,HANWHA,KR7000880005,BBG000BCX851,BBG001S6JXT9,BBG000BCX851
000990 KS,DB HITEK CO LTD,KR7000990002,BBG000BCV8Q0,BBG001S6JJY4,BBG000BCV8Q0
001040 KS,CJ CORP,KR7001040005,BBG000BCRJD5,BBG001S6HDZ8,BBG000BCRJD5
001060 KS,JW PHARMAC,KR7001060003,BBG000BDFLC2,BBG001S6HG54,BBG000BDFLC2
001120 KS,LX INTERNATIONAL CORP,KR7001120005,BBG000BDSF31,BBG001S6K1M4,BBG000BDSF31
001200 KS,EUGENE INV&SEC,KR7001200005,BBG000BDTDM4,BBG001S6K3J4,BBG000BDTDM4
001210 KS,KUMHO ELECTRIC,KR7001210004,BBG000BDRP58,BBG001S6K0F4,BBG000BDRP58
001230 KS,DONGKUK STEEL MILL CO LTD,KR7001230002,BBG000BCYYC5,BBG001S6K563,BBG000BCYYC5
001250 KS,GS GLOBAL,KR7001250000,BBG000BCYKK6,BBG001S6K1W3,BBG000BCYKK6
001260 KS,NAM KWANG CONS,KR7001260009,BBG000BDS0C4,BBG001S6K126,BBG000BDS0C4
001300 KS,KYUNG NONG CORP,,BBG000BDF3B3,BBG001S6HF10,BBG000BDF3B3
001430 KS,SEAH BESTEE,KR7001430008,BBG000BG9154,BBG001S72K31,BBG000BG9154
001440 KS,TAIHAN ELECTRIC WIRE CO LTD,KR7001440007,BBG000BCY440,BBG001S6K0C7,BBG000BCY440
001450 KS,HYUNDAI MAR&FI,KR7001450006,BBG000BH5192,BBG001S72CB0,BBG000BH5192
001540 KS,AHNGOOK PHARMACEUTICAL CO LTD,KR7001540004,BBG000BXPJZ7,BBG001SFGLL6,BBG000BXPJZ7
001630 KS,CHONGKUNDANG,KR7001630003,BBG000BDFGY9,BBG001S6HG18,BBG000BDFGY9
001680 KS,DAESANG CORP,KR7001680008,BBG000BD2GW5,BBG001S6DJR8,BBG000BD2GW5
001740 KS,SK NETWORKS CO LTD,KR7001740000,BBG000BC3D26,BBG001S6K1X2,BBG000BC3D26
001800 KS,ORION HOLDINGS CORP,KR7001800002,BBG000BDGL22,BBG001S6HM15,BBG000BDGL22
002020 KS,KOLON CORP,KR7002020006,BBG000BD0XJ5,BBG001S6D8B9,BBG000BD0XJ5
002270 KS,LOTTE FOOD,KR7002270007,BBG000BD1T58,BBG001S6DHC8,BBG000BD1T58
002310 KS,ASIA PAPER,KR7002310001,BBG000BGW2B9,BBG001S71PN9,BBG000BGW2B9
002320 KS,HANJIN TRANS,KR7002320000,BBG000BDP4B0,BBG001S6PWJ5,BBG000BDP4B0
002350 KS,NEXEN TIRE,KR7002350007,BBG000BDQH02,BBG001S6JYP1,BBG000BDQH02
002380 KS,KCC CORPORATION,KR7002380004,BBG000BCJPD0,BBG001S6CRD6,BBG000BCJPD0
002550 KS,KB INSURANCE CO LTD,,BBG000BDT6F7,BBG001S6K395,BBG000BDT6F7
002710 KS,TCC STEEL,KR7002710002,BBG000BDHBB3,BBG001S6HNJ4,BBG000BDHBB3
002790 KS,AMORE GROUP,KR7002790004,BBG000BDQ5M4,BBG001S6JY71,BBG000BDQ5M4
002990 KS,KUMHO IND,KR7002990000,BBG000BCXJ20,BBG001S6JYK6,BBG000BCXJ20
003000 KS,BUKWANG PHARM,KR7003000007,BBG000BGY4X9,BBG001S71T42,BBG000BGY4X9
003030 KS,SEAH STEEL CORP,KR7003030004,BBG000BCXP62,BBG001S6JZ87,BBG000BCXP62
003070 KS,KOLON GLOBALCO,KR7003070000,BBG000BCL319,BBG001S6D696,BBG000BCL319
003220 KS,DAEWON PHARM,KR7003220001,BBG000C19469,BBG001SD5GL4,BBG000C19469
003230 KS,SAM YANG FOODS,KR7003230000,BBG000BD3LC5,BBG001S6DX42,BBG000BD3LC5
003300 KS,HANIL CEMENT CO LTD,KR7003300001,BBG000BCV354,BBG001S6JJK9,BBG000BCV354
003410 KS,SSANGYONG CEMENT INDUSTRIAL CO LTD,KR7003410008,BBG000BCXJX6,BBG001S6JZ14,BBG000BCXJX6
003450 KS,KYUNG NONG CORP,,BBG000BDMJ84,BBG001S6JKF2,BBG000BDMJ84
003470 KS,YUANTA SEC KOR,KR7003470002,BBG000BH4NK2,BBG001S72BZ6,BBG000BH4NK2
003480 KS,HANJIN HEAVY IND & CONST HOLDINGS CO LTD,KR7003480001,BBG000BDPGR6,BBG001S6PX67,BBG000BDPGR6
003490 KS,KOREAN AIR LINES CO,KR7003490000,BBG000BDSVK7,BBG001S6K2B4,BBG000BDSVK7
003540 KS,DAISHIN SEC,KR7003540002,BBG000BDGSS9,BBG001S6HMH8,BBG000BDGSS9
003550 KS,LG CORP,KR7003550001,BBG000BCXCN2,BBG001S6JY35,BBG000BCXCN2
003560 KS,IHQ INC,KR7003560000,BBG000BD1JT4,BBG001S6DDL7,BBG000BD1JT4
003570 KS,SNT DYNAMICS CO LTD,KR7003570009,BBG000BCY7C4,BBG001S6K0H2,BBG000BCY7C4
003600 KS,KYUNG NONG CORP,,BBG000BDQVN6,BBG001S6JYY1,BBG000BDQVN6
003620 KS,KG MOBILITY CORP,KR7003620002,BBG000BCY5F5,BBG001S6K0G3,BBG000BCY5F5
003670 KS,POSCO CHEMICAL CO LTD,KR7003670007,BBG000F5NW32,BBG001SGPYL6,BBG000F5NW32
003690 KS,KOREAN REINSU,KR7003690005,BBG000BDT051,BBG001S6K2T5,BBG000BDT051
003720 KS,SAM YOUNG CHEM,KR7003720000,BBG000BDQ991,BBG001S6JYC5,BBG000BDQ991
003850 KS,BORYUNG PHARM,KR7003850005,BBG000BGY6X4,BBG001S71T60,BBG000BGY6X4
004000 KS,LOTTE FINE CHEMICAL CO LTD,KR7004000006,BBG000BDPYL3,BBG001S6JXW5,BBG000BDPYL3
004020 KS,HYUNDAI STEEL,KR7004020004,BBG000BCVFZ4,BBG001S6JKM4,BBG000BCVFZ4
004130 KS,DAEDUCK GDS CO LTD,,BBG000BDG402,BBG001S5SW95,BBG000BDG402
004150 KS,HANSOL HOLDINGS CO LTD,KR7004150009,BBG000BCRMC9,BBG001S6HG27,BBG000BCRMC9
004170 KS,SHINSEGAE,KR7004170007,BBG000BDSQJ0,BBG001S6K233,BBG000BDSQJ0
004200 KS,KOREA DEVELOPMENT CORPORATION,,BBG000BDRW35,BBG001S6K0S0,BBG000BDRW35
004370 KS,NONGSHIM,KR7004370003,BBG000BD2J59,BBG001S6DJY0,BBG000BD2J59
004430 KS,SONGWON INDUSTRIAL,KR7004430005,BBG000BDQFP9,BBG001S6JYG1,BBG000BDQFP9
004490 KS,SEBANG GLOBAL BATTERY CO LTD,KR7004490009,BBG000BDMDM1,BBG001S6JK99,BBG000BDMDM1
004550 KS,,,BBG000BP1W36,BBG001S8YXY2,BBG000BP1W36
004690 KS,SAMCHULLY,KR7004690004,BBG000BNN224,BBG001S8NJ48,BBG000BNN224
004710 KS,HANSOL TECHNICS,KR7004710000,BBG000BFXH72,BBG001S6TCZ7,BBG000BFXH72
004790 KS,,,BBG000C19G99,BBG001SD5GW2,BBG000C19G99
004800 KS,HYOSUNG CORP,KR7004800009,BBG000BCL462,BBG001S6D801,BBG000BCL462
004940 KS,,,BBG000BK9119,BBG001S7XKZ2,BBG000BK9119
004960 KS,HANSHIN CONST,KR7004960001,BBG000BCV032,BBG001S6JJF5,BBG000BCV032
004980 KS,SUNGSHIN CEMEN,KR7004980009,BBG000BDQXK5,BBG001S6JZ23,BBG000BDQXK5
004990 KS,LOTTE CORP,KR7004990008,BBG000BD1NP9,BBG001S6DG67,BBG000BD1NP9
005160 KS,DONGKUK INDUSTRIES CO,KR7005160007,BBG000DCCRP8,BBG001SD7KV2,BBG000DCCRP8
005180 KS,BINGGRAE,KR7005180005,BBG000BDDWL0,BBG001S6HDR7,BBG000BDDWL0
005300 KS,LOTTE CHILSUNG BEVERAGE,KR7005300009,BBG000BDPR29,BBG001S6JX73,BBG000BDPR29
005380 KS,HYUNDAI MOTOR,KR7005380001,BBG000BCVDK5,BBG001S6JKB6,BBG000BCVDK5
005440 KS,HYUNDAI GREEN FOOD CO LTD,KR7005440003,BBG000BG7QY9,BBG001S72B31,BBG000BG7QY9
005490 KS,POSCO HOLDINGS,KR7005490008,BBG000BDVH79,BBG001S6K581,BBG000BDVH79
005500 KS,SAMJIN PHARM,KR7005500004,BBG000BDVDW0,BBG001S6K554,BBG000BDVDW0
005610 KS,SPC SAMLIP CO LTD,KR7005610001,BBG000BD36X5,BBG001S6DRF3,BBG000BD36X5
005740 KS,CROWN CONFEC,KR7005740006,BBG000BDG1S8,BBG001S6HH07,BBG000BDG1S8
005830 KS,DB INSURANCE CO LTD,KR7005830005,BBG000BD1BC9,BBG001S6DC57,BBG000BD1BC9
005850 KS,SL CORP,KR7005850003,BBG000BFXXB2,BBG001S6TGY9,BBG000BFXXB2
005880 KS,KOREA LINE,KR7005880000,BBG000BHQ0L7,BBG001S75LJ9,BBG000BHQ0L7
005930 KS,SAMSUNG ELECTRONICS CO LTD,KR7005930003,BBG000BCY2S8,BBG001S6K037,BBG000BCY2S8
005940 KS,NH INVESTMENT & SECURITIES CO LTD,KR7005940002,BBG000BC3GF5,BBG001S6K368,BBG000BC3GF5
